Date,SPX_Close,SPX_Volume,MCHI_Close,MCHI_Volume,EEM_Close,EEM_Volume,GLD_Close,GLD_Volume,AGG_Close,AGG_Volume,TIPS_Close,TIPS_Volume,VIX_Close
9/2/2014,2002.280029,2819980000,45.786396,379600,39.657051,48129000,121.650002,10128600,95.206429,1029300,105.180908,1123900,12.25
9/3/2014,2000.719971,2809980000,47.138927,160800,40.177124,51700200,122.150002,3414600,95.310799,1311700,105.373947,1067500,12.36
9/4/2014,1997.650024,3072410000,47.17524,283900,40.071346,41676700,121.480003,7310600,95.189034,1308900,104.978714,312100,12.64
9/5/2014,2007.709961,2818300000,47.583721,435700,40.415112,53035700,122.059998,3490100,95.136841,798500,104.868408,327800,12.09
9/8/2014,2001.540039,2789090000,47.32048,284000,39.939129,50222700,120.730003,7506500,95.041168,895300,104.611053,320800,12.66
9/9/2014,1988.439941,2882830000,46.948303,2009800,39.445507,85940600,120.870003,6157300,94.910683,689500,104.307793,542000,13.5
9/10/2014,1995.689941,2912430000,46.349194,620800,39.278027,57439600,120.260002,7021500,94.780205,974400,103.912567,1861100,12.88
9/11/2014,1997.449951,2941690000,46.131336,419000,39.013592,70622500,119.470001,7612000,94.684525,753500,103.958511,808100,12.8
9/12/2014,1985.540039,3206570000,45.831783,1250200,38.5993,85785600,118.379997,8126500,94.493111,1327600,103.54493,690800,13.31
9/15/2014,1984.130005,2776530000,45.232677,551700,38.405376,68507800,118.639999,4775400,94.475723,1210800,103.664406,650800,14.12
9/16/2014,1998.97998,3160310000,45.568546,993400,38.90781,97318600,118.830002,6544500,94.475723,851000,103.636848,485400,12.73
9/17/2014,2001.569946,3209420000,45.268986,371900,38.54641,76121700,117.540001,8328700,94.371346,707200,102.938339,648700,12.65
9/18/2014,2011.359985,3235340000,45.25082,89700,38.5993,50513900,117.779999,5368700,94.380081,707600,102.671791,493400,12.03
9/19/2014,2010.400024,4880220000,44.796963,271400,38.308414,88033100,117.089996,10930200,94.536613,929900,102.975075,391100,12.11
9/22/2014,1994.290039,3349670000,43.998154,367600,37.726654,83094000,116.849998,7601600,94.667091,592400,102.901558,1131400,13.69
9/23/2014,1982.77002,3279350000,43.762142,423100,37.515102,82990700,117.599998,4664800,94.754097,705200,103.28756,571300,14.93
9/24/2014,1998.300049,3313850000,44.660801,496300,38.052788,55218900,117.050003,5515000,94.693207,836700,103.195641,927000,13.27
