date,forecast,mae
1/18/2019,-0.0055,0.025652021
1/19/2019,-0.0010,0.025635888
1/20/2019,0.0029,0.025605129
1/21/2019,-0.0025,0.025609913
1/22/2019,0.0018,0.025596913
1/23/2019,-0.0028,0.025585911
1/24/2019,0.0017,0.025566599
1/25/2019,0.0018,0.02555764
1/26/2019,-0.0038,0.025542411
1/27/2019,-0.0001,0.025528783
1/28/2019,-0.0003,0.025542609
1/29/2019,0.0005,0.025521587
1/30/2019,-0.0007,0.025510513
1/31/2019,-0.0017,0.025500688
2/1/2019,0.0003,0.025514275
2/2/2019,0.0009,0.025503007
2/3/2019,-0.0035,0.025468001
2/4/2019,-0.0002,0.025458001
2/5/2019,0.0018,0.025443796
2/6/2019,-0.0009,0.025453452
2/7/2019,0.0007,0.025449222
2/8/2019,-0.0001,0.025404853
2/9/2019,-0.0002,0.025434806
2/10/2019,-0.0001,0.025427558
2/11/2019,0.0025,0.025385401
2/12/2019,-0.0044,0.025405186
2/13/2019,0.0007,0.025420531
2/14/2019,0.0062,0.025380803
2/15/2019,-0.0005,0.02537111
2/16/2019,-0.0016,0.025356719
2/17/2019,-0.0030,0.025370464
2/18/2019,0.0040,0.025332986
2/19/2019,0.0011,0.025386096
2/20/2019,-0.0006,0.025377657
2/21/2019,-0.0002,0.025369131
2/22/2019,-0.0010,0.025362652
2/23/2019,0.0031,0.025327893
2/24/2019,0.0044,0.025357247
2/25/2019,-0.0031,0.025361242
2/26/2019,0.0023,0.025358696
2/27/2019,-0.0055,0.025380915
2/28/2019,0.0087,0.025347014
3/1/2019,0.0000,0.025330903
3/2/2019,-0.0080,0.025310537
3/3/2019,0.0017,0.025302099
3/4/2019,0.0016,0.025281915
3/5/2019,0.0025,0.025294748
3/6/2019,-0.0034,0.025292253
3/7/2019,-0.0018,0.025277338
3/8/2019,0.0032,0.025265283
3/9/2019,0.0003,0.025251005
3/10/2019,-0.0029,0.025247652
3/11/2019,0.0017,0.025235185
3/12/2019,0.0006,0.025225004
