,vars,model_returns,FP,FN,TP,TN,accuracy,precision,recall,TNR
94,"0, 4, 9",0.8321353815832438,18,9,41,22,0.7,0.69,0.82,0.55
130,"1, 4, 9",0.8264692547266429,20,7,43,20,0.7,0.68,0.86,0.5
132,"1, 5, 6",0.6306712648157062,24,4,46,16,0.69,0.66,0.92,0.4
45,"4, 5",0.7512288662301789,12,16,34,28,0.69,0.74,0.68,0.7
96,"0, 5, 6",0.6306712648157062,24,4,46,16,0.69,0.66,0.92,0.4
160,"2, 5, 6",0.6306712648157062,24,4,46,16,0.69,0.66,0.92,0.4
175,"3, 4, 5",0.7512288662301789,12,16,34,28,0.69,0.74,0.68,0.7
90,"0, 4, 5",0.7512288662301789,12,16,34,28,0.69,0.74,0.68,0.7
211,"5, 6, 7",0.6306712648157062,24,4,46,16,0.69,0.66,0.92,0.4
181,"3, 5, 6",0.6306712648157062,24,4,46,16,0.69,0.66,0.92,0.4
205,"4, 7, 8",0.6671848512584286,23,5,45,17,0.69,0.66,0.9,0.425
200,"4, 5, 10",0.7512288662301789,12,16,34,28,0.69,0.74,0.68,0.7
199,"4, 5, 9",0.7512288662301789,12,16,34,28,0.69,0.74,0.68,0.7
126,"1, 4, 5",0.7512288662301789,12,16,34,28,0.69,0.74,0.68,0.7
154,"2, 4, 5",0.7512288662301789,12,16,34,28,0.69,0.74,0.68,0.7
207,"4, 7, 10",0.6512837905542698,23,6,44,17,0.68,0.66,0.88,0.425
204,"4, 6, 10",0.7327594437301393,14,15,35,26,0.68,0.71,0.7,0.65
206,"4, 7, 9",0.6512837905542698,23,6,44,17,0.68,0.66,0.88,0.425
91,"0, 4, 6",0.7327594437301393,14,15,35,26,0.68,0.71,0.7,0.65
198,"4, 5, 8",0.722572062677987,13,16,34,27,0.68,0.72,0.68,0.675
92,"0, 4, 7",0.6512837905542698,23,6,44,17,0.68,0.66,0.88,0.425
46,"4, 6",0.7327594437301393,14,15,35,26,0.68,0.71,0.7,0.65
47,"4, 7",0.6512837905542698,23,6,44,17,0.68,0.66,0.88,0.425
214,"5, 6, 10",0.44575269993668404,25,4,46,15,0.68,0.65,0.92,0.375
